consumer.conversion_rate,consumer.avg_utility,consumer.avg_intent_fulfilment,consumer.avg_total_price,consumer.avg_delivery_time,consumer.avg_platforms_checked,consumer.avg_shortlist_relevance,restaurant.total_orders,restaurant.avg_restaurant_profit,restaurant.exposure_gini,restaurant.order_gini,restaurant.exposure_hhi,platform.total_orders,platform.platform_net_revenue,platform.platform_commission_rev,llm.total_llm_revenue,llm.avg_llm_revenue_per_order,llm.click_through_rate,llm.avg_shortlist_relevance,llm.conversion_from_llm,system.consumer_welfare,system.total_surplus,n_total,n_orders,run,seed,scenario
0.708,2.378492478572054,0.6690722535010251,35.22384197074302,35.28954802259887,2.0,0.0,708.0,11.895443511737827,0.11808610369943029,0.35868980360505787,0.024903927034235638,708.0,6237.155105645945,4851.294403631253,0.0,0.0,0.0,0.0,0.708,2378.492478572054,17037.621590528383,1000.0,708.0,0.0,42.0,No-LLM
0.786,2.256201787306026,0.7209592057047868,33.33862311951378,33.545801526717554,1.0,0.93326,786.0,10.783167789008901,0.3174643584521384,0.37039864291772684,0.04156694223103438,786.0,6766.440171627525,5177.378942758362,0.0,0.0,0.93,0.93326,0.786,2256.201787306026,17498.211841094548,1000.0,786.0,0.0,42.0,LLM Neutral
0.85,2.3789094503732975,0.7001084762038645,34.59685480052375,35.37764705882353,2.0,0.0,850.0,11.423630242236385,0.09997609085475201,0.3210352941176471,0.0207016882370205,850.0,7570.515785481976,5763.460183532212,0.0,0.0,0.0,0.0,0.85,2378.9094503732977,19659.5109417562,1000.0,850.0,1.0,43.0,No-LLM
0.828,2.4858251507594686,0.7878302508571268,30.99825569446573,33.86473429951691,1.0,0.97676,828.0,9.673553611855827,0.28649973502914694,0.43119601815253983,0.037015901036171306,828.0,6685.433119035433,4984.406805880795,0.0,0.0,0.936,0.97676,0.828,2485.8251507594687,17180.960660411525,1000.0,828.0,1.0,43.0,LLM Neutral
0.832,2.367680113575948,0.6890303608043465,34.58450948758109,35.17668269230769,2.0,0.0,832.0,11.046165316498875,0.09637302709409346,0.33281004709576134,0.021083165210947715,832.0,7216.5478097682535,5509.451799495233,0.0,0.0,0.0,0.0,0.832,2367.6801135759483,18774.637466671265,1000.0,832.0,2.0,44.0,No-LLM
0.824,2.437090307442672,0.7650013408734337,32.82474973995861,33.0,1.0,0.9927699999999999,824.0,9.98596863867631,0.318211009174312,0.4054072276159655,0.03268290547933675,824.0,6793.515561897387,5169.099901625808,0.0,0.0,0.94,0.9927699999999999,0.824,2437.0903074426724,17459.04402760934,1000.0,824.0,2.0,44.0,LLM Neutral
0.794,2.290318125273653,0.6596170990545424,36.95745352739743,36.10831234256927,2.0,0.0,794.0,12.312320857521058,0.11515457723399614,0.33464525608732165,0.02170912890105265,794.0,7338.406900077427,5681.872208207837,0.0,0.0,0.0,0.0,0.794,2290.3181252736526,19404.7077862228,1000.0,794.0,3.0,45.0,No-LLM
0.799,2.2784325605538,0.719448198215523,33.92906129736859,34.6107634543179,1.0,0.9886200000000002,799.0,10.550086507420009,0.28054870436344803,0.4097194664061785,0.030338169672428812,799.0,6897.069009391292,5263.661615671324,0.0,0.0,0.944,0.9886200000000002,0.799,2278.4325605537997,17605.02068937368,1000.0,799.0,3.0,45.0,LLM Neutral
0.815,2.3892277404661963,0.6883916932521958,32.90091892185222,35.88343558282209,2.0,0.0,815.0,11.445839618947653,0.1074672643623924,0.3486165018154501,0.021142554385515107,815.0,6959.3148655206405,5138.117263035719,0.0,0.0,0.0,0.0,0.815,2389.2277404661963,18676.901895429175,1000.0,815.0,4.0,46.0,No-LLM
0.84,2.4149332948074123,0.7503592165773172,31.80509505843765,33.8,1.0,0.9581200000000001,840.0,10.34057007801239,0.3911416968411787,0.4571428571428573,0.04053526159584615,840.0,7153.413755726808,5282.992684079006,0.0,0.0,0.951,0.9581200000000001,0.84,2414.933294807412,18254.425916064625,1000.0,840.0,4.0,46.0,LLM Neutral
0.798,2.32985439587313,0.6408819114349675,34.39262908216433,38.94736842105263,2.0,0.0,798.0,12.191261323307227,0.12497723132969041,0.3130221386800336,0.021849371435396697,798.0,6680.888592360274,5210.22378898612,0.0,0.0,0.0,0.0,0.798,2329.8543958731298,18739.36952423257,1000.0,798.0,5.0,47.0,No-LLM
0.829,2.3610644537654006,0.6931712472385696,33.52598026345639,38.45476477683957,1.0,0.9816800000000001,829.0,11.641556949218511,0.25282398425998553,0.37765159316249375,0.028567383235376054,829.0,6679.849717677972,5225.777910754913,0.0,0.0,0.952,0.9816800000000001,0.829,2361.0644537654007,18691.76488234552,1000.0,829.0,5.0,47.0,LLM Neutral
0.773,2.4318966891532274,0.7148682248078402,32.8201355332211,35.917205692108666,2.0,0.0,773.0,10.074055819530173,0.12471035676225295,0.38868890263794365,0.022773834435799823,773.0,6423.713279505746,4969.201774399948,0.0,0.0,0.0,0.0,0.773,2431.8966891532273,16642.8551171558,1000.0,773.0,6.0,48.0,No-LLM
0.795,2.384422719747555,0.7607889194536296,31.029381829467926,35.23647798742138,1.0,0.9315399999999999,795.0,9.463775733871737,0.3138229041501064,0.4400081152363562,0.0432129046559552,795.0,6394.512285084629,4882.310007038879,0.0,0.0,0.932,0.9315399999999999,0.795,2384.422719747555,16302.636713260215,1000.0,795.0,6.0,48.0,LLM Neutral
0.805,2.364757300095606,0.6916474640080578,32.948972623477815,36.86583850931677,2.0,0.0,805.0,10.324322562195547,0.12789397986439277,0.37363975155279494,0.021027505047030968,805.0,6807.201388613025,5199.2778961179065,0.0,0.0,0.0,0.0,0.805,2364.7573000956063,17483.03835127605,1000.0,805.0,7.0,49.0,No-LLM
0.826,2.423427580731911,0.7513783074997065,30.873781081977626,35.062953995157386,1.0,0.97057,826.0,9.370948311152684,0.2827785326086958,0.4759887005649719,0.03517701810609641,826.0,6686.256738651587,5118.689352964555,0.0,0.0,0.942,0.97057,0.826,2423.427580731911,16850.087624395615,1000.0,826.0,7.0,49.0,LLM Neutral
0.857,2.44761941295373,0.7216806229894013,33.706636663421314,34.8681446907818,2.0,0.0,857.0,12.11884588169342,0.11836565261222787,0.31705284214035667,0.021321731620440227,857.0,7224.060194203769,5505.972485132096,0.0,0.0,0.0,0.0,0.857,2447.61941295373,20057.53052776876,1000.0,857.0,8.0,50.0,No-LLM
0.825,2.426606889562164,0.7946719548286412,33.57078268911497,32.18909090909091,1.0,0.9948699999999999,825.0,11.989801943829828,0.28779234585400437,0.43288676236044643,0.03131038348583394,825.0,6965.494184184263,5342.363996019452,0.0,0.0,0.948,0.9948699999999999,0.825,2426.606889562164,19283.687677406037,1000.0,825.0,8.0,50.0,LLM Neutral
0.807,2.297317958941795,0.6492744380067267,33.9242975507768,39.33828996282528,2.0,0.0,807.0,11.657319812999207,0.12435413840468468,0.3238499860910906,0.02140340500367319,807.0,6908.643395231544,5121.755289689718,0.0,0.0,0.0,0.0,0.807,2297.317958941795,18613.418443263698,1000.0,807.0,9.0,51.0,No-LLM
0.806,2.2794654218856647,0.7201532788029384,32.954749230623065,37.53970223325062,1.0,0.99772,806.0,10.887195468812525,0.3222880414661238,0.4375113478181929,0.03127765012505824,806.0,6861.806183756803,5044.063979200562,0.0,0.0,0.922,0.99772,0.806,2279.465421885665,17916.351153505362,1000.0,806.0,9.0,51.0,LLM Neutral
